dte_code,dte_name,cap_code,cap_name,match_score,needs_review
EN3222,"COLLEGE OF ENGINEERING, AT. VILLEGE BETEGAON, CHILHAR ROAD, ",3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, A",0.6,
EN3223,MAHATMA EDUCATION SOCIETY'S PILLAIS HOC COLLEGE OF ENGINEERI,2133,Mahatma Basaweshwar Education Society's College of Engineeri,0.67,
EN3224,G.V. ACHARYA INSTITUTE OF ENGINEERING AND TECHNOLOGY,3224,"Leela Education Society, G.V. Acharya Institute of Engineeri",1.0,
EN3277,PRAVIN ROHIDAS PATIL COLLEGE OF ENGINEERING AND TECHNOLOGY,3277,Pravin Rohidas Patil College of Engineering & Technology,1.0,
EN3351,"BHARAT COLLEGE OF ENGINEERING, KANHOR, BADLAPUR(W)",3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",1.0,
EN3353,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUD,3353,Dilkap Research Institute Of Engineering and Management Stud,0.5,YES
EN3423,"SHREE L.R. TIWARI COLLEGE OF ENGINEERING, MIRA ROAD (E), DIS",3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",0.67,
EN3436,B.R. HARNE COLLEGE OF ENGINEERING & TECHNOLOGY,3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-A",0.5,YES
EN3440,METROPOLITAN INSTITUTE OF TECHNOLOGY AND MANAGEMENT COLLEGE,3440,"Metropolitan Institute of Technology & Management, Sukhalwad",1.0,
EN3445,"RESEARCH, SHAHAPUR,DIST THANE (FORMERLY KNOW AS-VISHWATMAK O",3465,"Ideal Institute of Technology, Wada, Dist.Thane",0.5,YES
EN3447,COLLEGE OF ENGINEERING) G.M.VEDAK INSTITUTE OF TECHNOLOGY,3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",0.6,
EN3462,"VPM'S MAHARSHI PARSHURAM COLLEGE OF ENGINEERING, VELNESHWAR,",3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar,",1.0,
EN3465,"ENGINEERING, VELNESHWAR, RATNAGIRI. IDEAL INSTITUTE OF TECHN",3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar,",0.5,YES
