college_code,college_name,avg_package_lpa,highest_package_lpa,placement_rate_pct
EN3721,"SIDDHIVINAYAK TECHNICAL CAMPUS, SCHOOL OF ENGINEERING & RESEARCH TECHNOLOGY",N/A,N/A,N/A
EN4116,"ANKUSH SHIKSHAN SANSTHA'S G.H.RAISONI COLLEGE OF ENGINEERING, NAGPUR",6.0,25.0,70.0
EN4123,"LOKMANYA TILAK JANKALYAN SHIKSHAN SANSTHA, PRIYADARSHANI COLLEGE OF",5.5,20.0,65.0
EN4133,SANMARG SHIKSHAN SANSTHA'S SMT. RADHIKATAI PANDAV COLLEGE OF,5.0,18.0,62.0
EN4134,"GURU NANAK INSTITUTE OF ENGINEERING & TECHNOLOGY,KALMESHWAR, NAGPUR",5.0,18.0,62.0
EN4135,AMAR SEVA MANDAL'S SHREE GOVINDRAO WANJARI COLLEGE OF ENGINEERING &,5.0,18.0,62.0
EN4137,SIR SHANTILAL BADJATE CHARITABLE TRUST'S S. B. JAIN INSTITUTE OF TECHNOLOGY,5.0,18.0,62.0
EN4138,"JAIDEV EDUCATION SOCIETY'S, J. D. COLLEGE OF ENGINEERING, AT: KHANDALA, POST : VALNI",5.0,18.0,62.0
EN4139,"KATOL ROAD,NAGPUR JHULELAL INSTITUT OF TECHNOLOGY, NAGPUR",N/A,N/A,N/A
EN4141,VILASRAO DESHMUKH COLLEGE OF ENGINEERING AND TECHNOLOGY,5.5,20.0,65.0
EN4142,"TECHNOLOGY, NAGPUR (FORMERLY KNOW AS - G. H. RAISONI INSTITUTE OF ENGINEERING &",6.0,25.0,70.0
EN4143,"SANMARG SHIKSHAN SANSTHA, MANDUKARRAO PANDAV COLLEGE OF",5.5,20.0,65.0
EN4144,"SHRI. SAI SHIKSHAN SANSTHA, NAGPUR INSTITUTE OF TECHNOLOGY, NAGPUR",5.5,20.0,65.0
EN4145,"WAINGANGA COLLEGE OF ENGINEERING AND MANAGEMENT, DONGARGAON, NAGPUR",5.0,18.0,60.0
EN4147,"COMMITTEE'S, KARMAVIR DADASAHEB KANNAMWAR COLEGE OF ENGINEERING",N/A,N/A,N/A
EN4151,SANSTHA'S TULSHIRAMJI GAIKWAD PATIL COLLEGE OF ENGINEERING & TECHNOLOGY,N/A,N/A,N/A
EN4163,RAJIV GANDHI COLLEGE OF ENGINEERING RESEARCH & TECHNOLOGY CHANDRAPUR,N/A,N/A,N/A
EN4167,"YESHWANTRAO CHAVAN COLLEGE OF ENGINEERING,WANADONGRI, NAGPUR",N/A,N/A,N/A
EN4172,"ANJUMAN COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",5.0,18.0,60.0
EN4174,"ST. VINCENT PALLOTTI COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",N/A,N/A,N/A
EN4175,"SHRI SHANKARPRASAD AGNIHOTRI COLLEGE OF ENGINEERING,BAPUJI WADI, SINDI (MEGHE)",N/A,N/A,N/A
EN4177,"PRIYADARSHINI BHAGWATI COLLEGE OF ENGINEERING, NAGPUR",N/A,N/A,N/A
EN4181,"TECHNOLOGY, NAGPUR (FORMERLY KNOWN AS SARVASIDDHANTA EDUCATION SOC'S",N/A,N/A,N/A
EN4188,"BALLARPUR INSTITUTE OF TECHNOLOGY,BALLARPUR",N/A,N/A,N/A
EN4190,"SHRI SAI COLLEGE OF ENGINEERING & TECHNOLOGY, BHADRAWATI (M.S.)",N/A,N/A,N/A
EN4192,"MAITREY EDUCATIONAL SOCIETY, NAGARJUNA INSTITUTE OF ENGINEERING TECHNOLOGY &",N/A,N/A,N/A
EN4193,"K.D.M. EDUCATION SOCIETY, VIDHARBHA INSTITUTE OF TECHNOLOGY,UMRED ROAD",N/A,N/A,N/A
EN4196,GURUNANAK EDUCATIONAL SOCIETY'S GURUNANAK INSTITUTE OF ENGINEERING AND,N/A,N/A,N/A
EN4197,"COLLEGE OF ENGINEERING, NR. BYPASS HIGHWAY, NAGTHANA ROAD, SINDI(MEGHE",N/A,N/A,N/A
EN4285,"SVVPM'S V M INSTITUTE OF ENGINEERING AND TECHNOLOGY,DONGARGAON, NAGPUR",N/A,N/A,N/A
EN4302,"MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY, SHAHAPUR",N/A,N/A,N/A
EN4304,"CUMMINS COLLEGE OF ENGINEERING FOR WOMEN, SUKLI (GUPCHUP), TAL. HINGNA, DIST",N/A,N/A,N/A
EN4613,"SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",N/A,N/A,N/A
EN4648,"R.V. PARANKAR COLLEGE OF ENGINEERING & TECHNOLOGY, ARVI, DIST WARDHA",N/A,N/A,N/A
EN4649,"TECHNOLOGY, ARVI, DIST WARDHA BAJAJ INSTITUTE OF TECHNOLOGY",N/A,N/A,N/A
EN4679,"KARANJEKAR COLLEGE OF ENGINEERING AND MANAGEMENT, SAKOLI",N/A,N/A,N/A
EN5103,SHRI SHIVAJI VIDYA PRASARAK SANSTHA'S LATE BAPUSAHEB SHIVAJI RAO DEORE COLLEGE,5.0,18.0,62.0
EN5104,"SHRAMSADHANA BOMBAY TRUST, COLLEGE OF ENGINEERING & TECHNOLOGY, JALGAON",5.0,18.0,62.0
EN5106,"K. C. E. SOCIETYS COLLEGE OF ENGINEERING AND INFORMATION TECHNOLOGY, JALGAON",5.0,18.0,62.0
EN5108,SAMAJ'S KARMAVEER ADV.BABAURAO GANPATRAO THAKARE COLLEGE OF,4.5,15.0,58.0
EN5109,"SANDIP FOUNDATION'S, SANDIP INSTITUTE OF TECHNOLOGY AND RESEARCH CENTRE",4.5,15.0,58.0
EN5121,"K. K. WAGH INSTITUTE OF ENGINEERING EDUCATION AND RESEARCH, NASHIK",5.0,18.0,62.0
EN5124,JAGADAMBA EDUCATION SOC. NASHIK'S S.N.D. COLLEGE OF ENGINEERING & RESERCH,4.5,15.0,58.0
EN5125,"VISVESVARAYA INSTITUTE OF TECHNOLOGY,AT.POST-CHINCHOLI, TAL",4.5,15.0,58.0
EN5139,"SINNAR, DIST-NASHIK PRAVARA RURAL ENGINEERING COLLEGE",N/A,N/A,N/A
EN5160,SANJIVANI RURAL EDUCATION SOCIETY'S SANJIVANI COLLEGE OF ENGINEERING,5.0,18.0,62.0
EN5161,"PADMASHRI DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING, AHMEDNAGAR",5.0,18.0,62.0
EN5162,"AMRUTVAHINI COLLEGE OF ENGINEERING, SANGAMNER",4.5,15.0,58.0
EN5164,"P.S.G.V.P. MANDAL'S D.N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST. NANDURBAR",5.0,18.0,62.0
EN5168,"T.M.E. SOCIETY'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR",4.5,15.0,58.0
EN5169,"NAGAON EDUCATION SOCIETY'S GANGAMAI COLLEGE OF ENGINEERING, NAGAON, TAL DIST",4.5,15.0,58.0
EN5170,HINDI SEVA MANDAL'S SHRI SANT GADGEBABA COLLEGE OF ENGINEERING & TECHNOLOGY,4.5,15.0,58.0
EN5171,"GODAVARI FOUNDATION'S GODAVARI COLLEGE OF ENGINEERING, JALGAON",5.0,18.0,62.0
EN5172,"R. C. PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR",4.5,15.0,58.0
EN5173,"SNJB'S COLLEGE OF ENGINEERING, (JAIN GURUKUL), NEMINAGAR,CHANDWAD,(NASHIK)",4.5,15.0,58.0
EN5177,"MATOSHRI COLLEGE OF ENGINEERING AND RESEARCH CENTRE, EKLAHARE, NASHIK",5.5,20.0,65.0
EN5179,"VISHWABHARATI ACADEMY'S COLLEGE OF ENGINEERING, AHMEDNAGAR",5.0,18.0,62.0
EN5180,MANDAL'S BRAHMA VALLEY COLLEGE OF ENGINEERING AND RESEARCH INSTITUTE,5.0,18.0,62.0
EN5181,"GOKHALE EDUCATION SOCIETY, COLLEGE OF ENGINEERING, NASHIK",4.5,15.0,58.0
EN5182,"KALYANI CHARITABLE TRUST, LATE GAMBHIRRAO NATUBA SAPKAL COLLEGE OF",4.5,15.0,58.0
EN5184,"AMRUTA VAISHNAVI EDUCATION & WELFARE TRUST'S, SHATABDI INSTITUTE OF ENGINEERING",4.5,15.0,58.0
EN5244,MET'S INSTITUTE OF TECHNOLOGY- POLYTECHNIC,N/A,N/A,N/A
EN5303,"HON. SHRI. BABANRAO PACHPUTE VICHARDHARA TRUST, GROUP OF",N/A,N/A,N/A
EN5322,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,N/A,N/A,N/A
EN5330,"PUNE VIDYARTHI GRIHA'S COLLEGE OF ENGINEERING, NASHIK",N/A,N/A,N/A
EN5331,SANDIP INSTITUTE OF ENGINEERING & MANAGEMENT,N/A,N/A,N/A
EN5365,VARDHMAN EDUCATION &WELFARE SOCIETY'S AHINSA INSTITUTE OF TECHNOLOGY,N/A,N/A,N/A
EN5380,AHINSA INSTITUTE OF TECHNOLOGY ADSUL'S TECHNICAL CAMPUS AHMEDNAGAR,N/A,N/A,N/A
EN5381,"SHRI. JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY, DONDAICHA",N/A,N/A,N/A
EN5382,"SHRI CHHATRAPATI SHIVAJI MAHARAJ COLLEGE OF ENGINEERING,NEPTI",N/A,N/A,N/A
EN5390,KRANTIVEER VASANTRAO NARAYAN NAIK INSTITUTE OF ENGINEERING,N/A,N/A,N/A
