college_code,college_name,annual_fees
EN4304,"CUMMINS COLLEGE OF ENGINEERING FOR WOMEN, SUKLI (GUPCHUP), TAL. HINGNA, DIST",131500
EN4613,"SURYODAYA COLLEGE OF ENGINEERING & TECHNOLOGY, NAGPUR",97000
EN4648,"R.V. PARANKAR COLLEGE OF ENGINEERING & TECHNOLOGY, ARVI, DIST WARDHA",85000
EN4649,"TECHNOLOGY, ARVI, DIST WARDHA BAJAJ INSTITUTE OF TECHNOLOGY",110790
EN4679,"KARANJEKAR COLLEGE OF ENGINEERING AND MANAGEMENT, SAKOLI",89000
EN5103,SHRI SHIVAJI VIDYA PRASARAK SANSTHA'S LATE BAPUSAHEB SHIVAJI RAO DEORE COLLEGE,104500
EN5104,"SHRAMSADHANA BOMBAY TRUST, COLLEGE OF ENGINEERING & TECHNOLOGY, JALGAON",78000
EN5106,"K. C. E. SOCIETYS COLLEGE OF ENGINEERING AND INFORMATION TECHNOLOGY, JALGAON",69500
EN5108,SAMAJ'S KARMAVEER ADV.BABAURAO GANPATRAO THAKARE COLLEGE OF,134000
EN5109,"SANDIP FOUNDATION'S, SANDIP INSTITUTE OF TECHNOLOGY AND RESEARCH CENTRE",153000
EN5121,"K. K. WAGH INSTITUTE OF ENGINEERING EDUCATION AND RESEARCH, NASHIK",163000
EN5124,JAGADAMBA EDUCATION SOC. NASHIK'S S.N.D. COLLEGE OF ENGINEERING & RESERCH,90000
EN5125,"VISVESVARAYA INSTITUTE OF TECHNOLOGY,AT.POST-CHINCHOLI, TAL",88500
EN5139,"SINNAR, DIST-NASHIK PRAVARA RURAL ENGINEERING COLLEGE",127000
EN5160,SANJIVANI RURAL EDUCATION SOCIETY'S SANJIVANI COLLEGE OF ENGINEERING,173000
EN5161,"PADMASHRI DR. VITHALRAO VIKHE PATIL COLLEGE OF ENGINEERING, AHMEDNAGAR",119500
EN5162,"AMRUTVAHINI COLLEGE OF ENGINEERING, SANGAMNER",153000
EN5164,"P.S.G.V.P. MANDAL'S D.N. PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST. NANDURBAR",75000
EN5168,"T.M.E. SOCIETY'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR",53500
EN5169,"NAGAON EDUCATION SOCIETY'S GANGAMAI COLLEGE OF ENGINEERING, NAGAON, TAL DIST",60000
EN5170,HINDI SEVA MANDAL'S SHRI SANT GADGEBABA COLLEGE OF ENGINEERING & TECHNOLOGY,94500
EN5171,"GODAVARI FOUNDATION'S GODAVARI COLLEGE OF ENGINEERING, JALGAON",78500
EN5172,"R. C. PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR",156000
EN5173,"SNJB'S COLLEGE OF ENGINEERING, (JAIN GURUKUL), NEMINAGAR,CHANDWAD,(NASHIK)",113000
EN5177,"MATOSHRI COLLEGE OF ENGINEERING AND RESEARCH CENTRE, EKLAHARE, NASHIK",82000
EN5179,"VISHWABHARATI ACADEMY'S COLLEGE OF ENGINEERING, AHMEDNAGAR",71500
EN5180,MANDAL'S BRAHMA VALLEY COLLEGE OF ENGINEERING AND RESEARCH INSTITUTE,94000
